phase,r,targetN,sampled_states,avg_capacity_util,avg_byte_util,avg_total_byte_util_worst,avg_transient_extra_bytes,max_transient_extra_bytes,avg_B,avg_B_over_N_1_over_r,max_capacity_util,min_capacity_util,max_byte_util,min_byte_util,B_at_targetN,N_1_over_r_est_at_targetN,B_over_N_1_over_r_at_targetN,payload_bytes_at_targetN,capacity_slots_at_targetN,capacity_bytes_at_targetN,pointer_bytes_at_targetN,resident_bytes_at_targetN,slack_slots_at_targetN,slack_bytes_at_targetN,next_grow_extra_bytes_at_targetN,next_shrink_extra_bytes_at_targetN,adjust_worst_bytes_at_targetN,total_worst_bytes_at_targetN,capacity_util_at_targetN,byte_util_at_targetN,total_byte_util_worst_at_targetN
grow,2,1000,1000,96.312167,75.234633,74.929172,6.176000,1536,27.320000,1.339457,100.000000,50.000000,88.571429,10.000000,32,31.622777,1.011929,4000,1024,4096,512,4608,24,96,0,0,0,4608,97.656250,86.805556,86.805556
shrink,2,1000,1000,94.798786,71.119689,70.968264,0.824000,512,30.860000,1.685549,100.000000,25.000000,88.571429,5.000000,32,31.622777,1.011929,4000,1024,4096,512,4608,24,96,0,0,0,4608,97.656250,86.805556,86.805556
grow,2,2000,2000,97.102664,79.471369,79.272755,7.568000,5120,45.276000,1.495821,100.000000,50.000000,88.888889,10.000000,64,44.721360,1.431084,8000,2048,8192,1024,9216,48,192,0,0,0,9216,97.656250,86.805556,86.805556
shrink,2,2000,2000,95.341570,72.444178,72.349595,1.180000,1536,59.350000,2.181618,100.000000,25.000000,88.571429,5.000000,64,44.721360,1.431084,8000,2048,8192,1024,9216,48,192,0,0,0,9216,97.656250,86.805556,86.805556
grow,2,5000,5000,98.146681,86.015108,85.911358,9.068800,18432,68.081600,1.435386,100.000000,50.000000,94.117647,10.000000,128,70.710678,1.810193,20000,5120,20480,2048,22528,120,480,0,0,0,22528,97.656250,88.778409,88.778409
shrink,2,5000,5000,96.598425,77.806675,77.753024,1.496000,5120,113.045600,2.529205,100.000000,25.000000,90.697674,5.000000,128,70.710678,1.810193,20000,5120,20480,2048,22528,120,480,0,0,0,22528,97.656250,88.778409,88.778409
grow,2,10000,10000,98.637275,89.323747,89.266006,6.531200,18432,98.040800,1.467473,100.000000,50.000000,95.121951,10.000000,128,100.000000,1.280000,40000,10112,40448,2048,42496,112,448,0,0,0,42496,98.892405,94.126506,94.126506
shrink,2,10000,10000,97.863147,85.219531,85.186839,0.748000,5120,120.522800,2.014383,100.000000,25.000000,95.121951,5.000000,128,100.000000,1.280000,40000,10112,40448,2048,42496,112,448,0,0,0,42496,98.892405,94.126506,94.126506
grow,2,20000,20000,99.035992,92.223136,92.188717,8.718400,69632,136.162800,1.435712,100.000000,50.000000,96.969697,10.000000,256,141.421356,1.810193,80000,20224,80896,4096,84992,224,896,0,0,0,84992,98.892405,94.126506,94.126506
shrink,2,20000,20000,98.216364,86.934996,86.914506,1.295600,18432,226.053400,2.528441,100.000000,25.000000,95.121951,5.000000,256,141.421356,1.810193,80000,20224,80896,4096,84992,224,896,0,0,0,84992,98.892405,94.126506,94.126506
grow,2,50000,50000,99.381791,94.855613,94.840149,5.883520,69632,208.065120,1.415857,100.000000,50.000000,97.989950,10.000000,256,223.606798,1.144867,200000,50176,200704,4096,204800,176,704,0,0,0,204800,99.649235,97.656250,97.656250
